product_name,total_price,unit_price,img,link,supermarket
Terry's Chocolate Orange Milk Ball 157g,150.0,95p / 100g,https://assets.sainsburys-groceries.co.uk/gol/2012032/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/terrys-milk-chocolate-orange-175g,Sainsburys
Green & Black's Organic 70% Dark Chocolate Bar 90g,150.0,£1.67 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2431857/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/green-blacks-organic-70-dark-chocolate-bar-90g,Sainsburys
Lindt Excellence Dark 70% Cocoa Chocolate Bar 100g,200.0,£2.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2681344/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lindt-excellence-dark-70-cocoa-chocolate-bar-100g,Sainsburys
KitKat Chunky Milk Chocolate Bar Multipack 4x40g,150.0,94p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7731030/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kit-kat-chunky-milk-chocolate-bar-multipack-x4-40g-7731030-p,Sainsburys
Cadbury Milk Chocolate Biscuit Fingers 114g,150.0,£1.32 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7788902/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-milk-chocolate-biscuit-fingers-138g,Sainsburys
Galaxy Smooth Milk Chocolate Bars Multipack 4 x 42g,150.0,89p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6636803/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/galaxy-milk-x4-168g,Sainsburys
"Sainsbury's White Chocolate, Basics 100g",30.0,30p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6284760/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-white-chocolate--basics-100g,Sainsburys
Cadbury Dairy Milk Chocolate Bar 110g,100.0,91p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7448536/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-chocolate-120g,Sainsburys
Cadbury Bournville Dark Chocolate Bar 180g,200.0,£1.11 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2024349/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-bournville-200g,Sainsburys
Green & Black's Organic 85% Dark Chocolate Bar 90g,150.0,£1.67 / 100g,https://assets.sainsburys-groceries.co.uk/gol/6553123/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/green-blacks-organic-85-dark-chocolate-bar-90g,Sainsburys
KitKat 4 Finger Milk Chocolate Bar Multipack 4x41.5g,150.0,90p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7541401/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kit-kat-4-finger-milk-chocolate-bar-multipack-x4-415g-7541401-p,Sainsburys
Galaxy Minstrels Chocolate Pouch Bag 125g,150.0,£1.20 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7073453/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/galaxy-minstrels-pouch-153g,Sainsburys
Toffee Crisp Milk Chocolate Bar Multipack 4x38g,150.0,99p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7541392/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/toffee-crisp-multipack-x4-432g,Sainsburys
Cadbury Dairy Milk Fruit & Nut Chocolate Bar 200g,200.0,£1.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2024219/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-fruit---nut-200g,Sainsburys
After Eight Dark Chocolate Thins Box 300g,200.0,67p / 100g,https://assets.sainsburys-groceries.co.uk/gol/3351109/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/after-eight-dark-chocolate-thins-box-300g,Sainsburys
Bounty Coconut Milk Chocolate Duo Bars Multipack 4x57g,150.0,66p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7554983/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bounty-4x57g,Sainsburys
Cadbury Dairy Milk Whole Nut Chocolate Bar 200g,200.0,£1.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2024431/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-wholenut-200g,Sainsburys
